Demography	ETHNICITY OR RESIDENTIAL LOCATION? FACTORS BEHIND THE EDUCATIONAL AND LABOUR MARKET DIFFICULTIES OF YOUNG PEOPLE OF IMMIGRANT BACKGROUND IN FRANCE
Business	The role of organizational learning in stakeholder marketing
Area Studies	JAPAN A New Social History of Occupied Japan
International Relations	A Tragic Choice: Japanese Preventive Motivations and the Origins of the Pacific War
Urban Studies	Incentivized Urbanization in Philadelphia: The Local Politics of Globalized Zones
Area Studies	Ovimbundu Identity Attributions in Post-War Angola
Regional & Urban Planning	Locating Exhibition Centers How to Explain Divergent Spatial Development in Amsterdam, Frankfurt, Milan and Munich
Hospitality, Leisure, Sport & Tourism	Second-home landscape: The meaning(s) of landscape for second-home tourism in Finnish Lakeland
Business	Conceptualizing for managerial relevance in B2B research: a grounded theory approach
Education, Special	Watch This! A Guide to Implementing Video Modeling in the Classroom
Political Science	The Obama Victory: How Media, Money, and Message Shaped the 2008 Election
Gerontology	Tenacious Goal Pursuit, Flexible Goal Adjustment, and Life Satisfaction Among Chinese Older Adult Couples
Criminology & Penology	Aboriginalising the parole process: 'Culturally appropriate' adaptations and the Canadian federal parole system
Education, Special	Intellectual disability nursing - responding to health inequity
Ethnic Studies	"What""s wrong with establishment?"
Gerontology	Good Health Transitions Project-A Contemporary Model of Service Delivery to Reduce the Impact of Frailty
Substance Abuse	Collegiate Binge Drinking and Social Media Use Among Hispanics and Non-Hispanics
History Of Social Sciences	The Routledge handbook of planning history
Education & Educational Research	Is test-driven external accountability effective? Synthesizing the evidence from cross-state causal-comparative and correlational studies
Ethnic Studies	Tyneside welcomes Martin Luther King
Management	Social layers of customer-to-customer value co-creation
Economics	The Declining Worker Power Hypothesis: An Explanation for the Recent Evolution of the American Economy
Ethnic Studies	Support for race-targeted affirmative action in Brazil
Communication	Whither culture? On the predominance of cognitivism in media and communication studies
Rehabilitation	Systematic Reviews of the Effectiveness of Interventions Used in Occupational Therapy Early Childhood Services
Social Sciences, Biomedical	IVF and stem cells: The social life of some ethical quandaries
Substance Abuse	Adolescent Former Cigarette Smokers' Vulnerability to Other Tobacco Products
Psychology, Multidisciplinary	Make Me Laugh: Creativity in the British television comedy industry
Social Sciences, Biomedical	Psychopolitics
Social Sciences, Interdisciplinary	The Evolution of Atheism
Cultural Studies	EXPANDED FIELDS: POSTDICTATORSHIP AND THE LANDSCAPE
Family Studies	Leaving Home of Migrant and Dutch Young Adults: Parent-Child and Peer Relations INTRODUCTION
Sociology	Red Inc.: Dictatorship and the development of capitalism in China, 1949 to the present
Linguistics	Extended uses of the progressive form in L1 and L2 Englishes
Women'S Studies	Structured Irresponsibility. Reports from the World of Banking. Including a Text by Elfriede Jelinek
Urban Studies	Social innovation and institutionalisation in the cognitive-cultural economy: Two contrasting experiences from Southern Europe
Sociology	Abundance in the Anthropocene
Hospitality, Leisure, Sport & Tourism	Icelandic Tourism: Past DirectionsFuture Challenges
History Of Social Sciences	Olympic cities: city agendas, planning, and the world's games, 1896-2016
History Of Social Sciences	INA-Casa Tuscolano. Biography of a Roman suburb
Hospitality, Leisure, Sport & Tourism	Chinese New Year Festival: Exploring consumer purchase intention at the flower market in Macau
Substance Abuse	Efficacy of a Brief Alcohol Consumption Reintervention for Adolescents
Education, Special	Issues of consent, vulnerability and representation in learning disabilities: The continuing challenge to citizenship
Business, Finance	MANY HANDS, LIGHT WORK
Anthropology	Geometric properties and comparative biomechanics of Homo floresiensis mandibles
Industrial Relations & Labor	Employee Representation in Non-Union Firms: An Overview
Law	Stolen Valor and Freedom of Speech: An Analysis of How Federal Law Should Criminalize the Wearing of Unearned Military Awards
Hospitality, Leisure, Sport & Tourism	Signaling through the 2008 Beijing OlympicsUsing Mega Sport Events to Change the Perception and Image of the Host
History & Philosophy Of Science	Sublime frequencies: The construction of sublime listening experiences in the sonification of scientific data
Transportation	Text mining approach to explore dimensions of airline customer satisfaction using online customer reviews
Area Studies	The Importance of the Trans-Caspian Energy Cooperation of the Turkish Republics
Business	Family Capital of Family Firms Bridging Human, Social, and Financial Capital
Economics	Foreign direct investment, aid, and terrorism
Sociology	Protest and Organization in the Alternative Globalization Era: NGOs, Social Movements, and Political Parties
Sociology	& x9bad;& x9c52;(sic) (salmon trout theory) and the politics of non-Western academic terms
Economics	Investigating the impact of SPS standards on trade using a VES model
History & Philosophy Of Science	Introduction: Integrated history and philosophy of science in practice
Public Administration	Governance by Proxy: A Comparative Policy Analysis of the Mainstreaming of Immigrant Integration Governance
Psychology, Multidisciplinary	The effects of humor cartoons in a series of bestselling academic books
Rehabilitation	Prevalence and Risk Factors for Female Sexual Dysfunction Among Turkish Women Attending a Maternity and Gynecology Outpatient Clinic
Economics	INVESTMENT AND ABANDONMENT BEHAVIOR OF RURAL HOUSEHOLDS: AN EMPIRICAL INVESTIGATION
Hospitality, Leisure, Sport & Tourism	Re-visiting Luang Prabang: transformations under the influence of world heritage designation
Business	Employer and employee obligations and rights under the Uniformed Services Employment and Reemployment Rights Act
Public Administration	Collaborative Approaches to Regional Governance - Lessons from Victoria
Psychology, Multidisciplinary	Shandean Humour in English and German Literature and Philosophy
Environmental Studies	The Impact of Resource Scarcity on Bonding and Bridging Social Capital: the Case of Fishers' Information-Sharing Networks in Loreto, BCS, Mexico
International Relations	Exodus: How Migration Is Changing Our World
Public Administration	A Commemoration of the 75th Anniversary of the Founding of ASPA and the 50th Anniversary of the Civil Rights Act of 1964 Introduction
Communication	Journalistic Views on Hard and Soft News: Cross-Validating a Popular Concept in a Factorial Survey
Business, Finance	On the investment-uncertainty relationship: A game theoretic real option approach
Development Studies	Divisive 'Commonality': state and insecurity in the Democratic Republic of Congo
Business	What Is Special About Marketing Organic Products? How Organic Assortment, Price, and Promotions Drive Retailer Performance
Health Policy & Services	CPR Simulation: Active Learning about Team Roles and Communication
Geography	Beginners and equals: political subjectivity in Arendt and Ranciere
Geography	Glacial geomorphology of the Maidika region, Tibetan Plateau
Psychology, Multidisciplinary	Gelotophobia: Life satisfaction and happiness across cultures
Environmental Studies	Social impact assessment, social development programmes and social licence to operate: tensions and contradictions in intent and practice in the extractive sector
Social Issues	Digital Medicine: Health Care in the Internet Era
Development Studies	Radical Islamism and failed developmentalism
Transportation	The Team Orienteering Problem with Overlaps: An Application in Cash Logistics
Transportation	Robust Efficiency in Urban Public Transportation: Minimizing Delay Propagation in Cost-Efficient Bus Driver Schedules
Public Administration	Challenges for civil society involvement in civic entrepreneurship: a case study of local enterprise partnerships
Law	The Politics of Principle: The First South African Constitutional Court, 1995-2005
Communication	Understanding the ideological construction of the Gulf crisis in Arab media discourse: A critical discourse analytic study of the headlines of Al Arabiya English and Al Jazeera English
Hospitality, Leisure, Sport & Tourism	Market segmentation based on time use: an empirical analysis in the historic city of Toledo, Spain
Nursing	Found Poetry as an Expression of Qualitative Research in Youth with Type 1 Diabetes Mellitus
